受渡日,約定日,商品等,取引種類,銘柄名（ファンド名）,銘柄コード,口座,数量,単価,支払（出金）,預り（入金）,MRF・お預り金残高,摘要
2020/1/15,---,---,残高,MRF・お預り金残高,-,-,---,---,---,---,"8,520","+8,520(前日比)"
2020/1/15,---,利金（国内債券）,利金*,個人国債　　　１１１,-,特定,"43,000,000",---,---,"8,520",---,
2020/7/15,---,---,残高,MRF・お預り金残高,-,-,---,---,---,---,"17,087","+8,567(前日比)"
2020/7/15,---,利金（国内債券）,利金*,個人国債　　　１１１,-,特定,"43,000,000",---,---,"8,567",---,
2020/7/21,2020/7/17,国内債券,売却,個人向け国債（変動・１０年）第１１１回,-,特定,"43,000,000",100,---,"42,983,268",---,
2020/7/21,2020/7/21,MRF・MMFなど,解約,日興ＭＲＦ,-,特定,"43,000,355","10,000",---,"43,000,355",---,
2020/7/21,---,---,残高,MRF・お預り金残高,-,-,---,---,---,---,0,"-17,087(前日比)"
2020/7/21,---,入出金,出金,---,-,-,---,---,"43,000,355",---,---,振込
2021/1/5,---,---,残高,MRF・お預り金残高,-,-,---,---,---,---,"3,398","+3,398(前日比)"
2021/1/5,---,入出金,入金,---,-,-,---,---,---,"2,562",---,特定口座配当等通算還付金
2021/1/5,---,入出金,入金,---,-,-,---,---,---,836,---,特定口座配当等通算地方税還付金
2023/2/20,2023/2/20,MRF・MMFなど,解約,日興ＭＲＦ,-,特定,"3,398","10,000",---,"3,398",---,
2023/2/20,---,---,残高,MRF・お預り金残高,-,-,---,---,---,---,0,"-3,398(前日比)"
2023/2/20,---,入出金,入金,---,-,-,---,---,---,"1,000",---,ＳＭＢＣ即時入金
2023/2/20,---,入出金,出金,---,-,-,---,---,"1,000",---,---,ＳＭＢＣ即時出金
2023/2/20,---,入出金,出金,---,-,-,---,---,"3,398",---,---,イージートレード出金
2023/2/27,---,入出金,振替,---,-,-,---,---,---,"300,000",---,信用保証金から
2023/2/27,---,入出金,入金,---,-,-,---,---,---,"3,000,000",---,ＳＭＢＣ即時入金
2023/2/27,---,入出金,振替,---,-,-,---,---,"300,000",---,---,信用保証金へ
2023/2/27,---,入出金,出金,---,-,-,---,---,"3,000,000",---,---,イージートレード出金
2023/3/1,---,入出金,入金,---,-,-,---,---,---,"3,000,000",---,ＳＭＢＣ即時入金
2023/3/1,---,入出金,出金,---,-,-,---,---,"3,000,000",---,---,ＳＭＢＣ即時出金
