約定日,受渡日,銘柄コード,銘柄名,市場名称,口座区分,取引区分,売買区分,信用区分,弁済期限,数量［株］,単価［円］,手数料［円］,税金等［円］,諸費用［円］,税区分,受渡金額［円］,建約定日,建単価［円］,建手数料［円］,建手数料消費税［円］,金利（支払）〔円〕,金利（受取）〔円〕,逆日歩／特別空売り料（支払）〔円〕,逆日歩（受取）〔円〕,貸株料,事務管理費〔円〕（税抜）,名義書換料〔円〕（税抜）
2024/10/28,2024/10/30,3134,Ｈａｍｅｅ,東証,特定,現物,買付,-,-,100,995,0,0,0,-,"99,500",-,0,0,0,0,0,0,0,0,0,0
2024/10/28,2024/10/30,3134,Ｈａｍｅｅ,東証,特定,信用新規,売建,一般,14日,100,995,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2024/10/30,2024/11/1,3134,Ｈａｍｅｅ,東証,特定,現渡,,一般,14日,100,0,0,0,31,源徴あり,"99,469",2024/10/28,995,0,0,0,0,0,0,31,0,0
2024/12/13,2024/12/17,8029,ルックホールディングス,東証,特定,現物,買付,-,-,100,"2,480.00",0,0,0,-,"248,000",-,0,0,0,0,0,0,0,0,0,0
2024/12/13,2024/12/17,8029,ルックホールディングス,東証,特定,信用新規,売建,一般,無期限,100,"2,480.00",0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2024/12/16,2024/12/18,2702,日本マクドナルドＨＬＤＧ,東証,特定,現物,買付,-,-,100,"6,300.00",0,0,0,-,"630,000",-,0,0,0,0,0,0,0,0,0,0
2024/12/16,2024/12/18,2702,日本マクドナルドＨＬＤＧ,東証,特定,現物,買付,-,-,400,"6,300.00",0,0,0,-,"2,520,000",-,0,0,0,0,0,0,0,0,0,0
2024/12/16,2024/12/18,2702,日本マクドナルドＨＬＤＧ,東証,特定,信用新規,売建,一般,無期限,100,"6,300.00",0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2024/12/16,2024/12/18,2702,日本マクドナルドＨＬＤＧ,東証,特定,信用新規,売建,一般,無期限,400,"6,300.00",0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2024/12/16,2024/12/18,3197,すかいらーくホールディングス,東証,特定,現物,買付,-,-,"1,000","2,499.00",0,0,0,-,"2,499,000",-,0,0,0,0,0,0,0,0,0,0
2024/12/16,2024/12/18,3197,すかいらーくホールディングス,東証,特定,信用新規,売建,一般,無期限,"1,000","2,499.00",0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2024/12/16,2024/12/18,7128,フルサト・マルカＨＤ,東証,特定,現物,買付,-,-,500,"2,251.00",0,0,0,-,"1,125,500",-,0,0,0,0,0,0,0,0,0,0
2024/12/16,2024/12/18,7128,フルサト・マルカＨＤ,東証,特定,信用新規,売建,一般,無期限,500,"2,251.00",0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2024/12/24,2024/12/26,3415,ＴＯＫＹＯ　ＢＡＳＥ,東証,特定,現物,買付,-,-,"1,000",312,0,0,0,-,"312,000",-,0,0,0,0,0,0,0,0,0,0
2024/12/24,2024/12/26,3415,ＴＯＫＹＯ　ＢＡＳＥ,東証,特定,信用新規,売建,一般,無期限,"1,000",312,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2024/12/26,2024/12/30,4967,小林製薬,東証,特定,現物,買付,-,-,100,"6,100.00",0,0,0,-,"610,000",-,0,0,0,0,0,0,0,0,0,0
2024/12/26,2024/12/30,4967,小林製薬,東証,特定,信用新規,売建,一般,14日,100,"6,100.00",0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0
2024/12/27,2025/1/6,2702,日本マクドナルドＨＬＤＧ,東証,特定,現渡,,一般,無期限,100,0,0,0,379,源徴あり,"629,621",2024/12/16,"6,300.00",0,0,0,0,0,0,379,0,0
2024/12/27,2025/1/6,2702,日本マクドナルドＨＬＤＧ,東証,特定,現渡,,一般,無期限,400,0,0,0,"1,518",源徴あり,"2,518,482",2024/12/16,"6,300.00",0,0,0,0,0,0,"1,518",0,0
