約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
2023/9/20,ビーアールホールディングス,1726,--,株式現物買,--, 特定 ,--,1,387,--,--,2023/9/22,387
2023/9/20,システム情報,3677,--,株式現物買,--, 特定 ,--,1,760,--,--,2023/9/22,760
2023/9/20,新東工業,6339,--,株式現物買,--, 特定 ,--,1,1164,--,--,2023/9/22,1164
2023/9/20,オートバックスセブン,9832,--,株式現物買,--, 特定 ,--,1,1599.5,--,--,2023/9/22,1599
2023/9/25,セントケア・ホールディング,2374,--,株式現物買,--, 特定 ,--,1,824,--,--,2023/9/27,824
2023/9/25,コジマ,7513,--,株式現物買,--, 特定 ,--,1,636,--,--,2023/9/27,636
2023/9/25,ケーズホールディングス,8282,--,株式現物買,--, 特定 ,--,1,1416,--,--,2023/9/27,1416
2023/9/26,コシダカホールディングス,2157,--,株式現物買,--, 特定 ,--,1,1246,--,--,2023/9/28,1246
2023/9/26,明光ネットワークジャパン,4668,--,株式現物買,--, 特定 ,--,1,650,--,--,2023/9/28,650
2023/9/29,小僧寿し,9973,--,株式現物買,--, 特定 ,--,1,20,--,--,2023/10/3,20
2023/10/6,アステナホールディングス,8095,--,株式現物買,--, 特定 ,--,1,475,--,--,2023/10/11,475
2023/10/10,バリューＨＲ,6078,--,株式現物買,--, 特定 ,--,1,1236,--,--,2023/10/12,1236
2023/10/23,ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）,,,投信金額買付,--, 特定/一般 ,--,45,22599,--,--,2023/10/26,100
2023/10/23,ｅＭＡＸＩＳ　Ｓｌｉｍ　全世界株式（オール・カントリー）,,,投信金額買付,--, 特定/一般 ,--,52,19415,--,--,2023/10/27,100
2023/10/23,たわらノーロード　全世界株式,,,投信金額買付,--, 特定/一般 ,--,55,18098,--,--,2023/10/27,100
2023/10/30,神戸物産,3038,--,株式現物買,--, 特定 ,--,1,3667,--,--,2023/11/1,3667
2023/10/31,アステナホールディングス,8095,--,株式現物買,--, 特定 ,--,1,529,--,--,2023/11/2,529
2023/11/1,アステナホールディングス,8095,--,株式現物売,--, 特定 ,申告,1,542,--,--,2023/11/6,542
2023/11/8,サカタのタネ,1377,--,株式現物買,--, 特定 ,--,1,4000,--,--,2023/11/10,4000
2023/11/13,ビーアールホールディングス,1726,--,株式現物売,--, 特定 ,申告,1,346,--,--,2023/11/15,346
2023/11/13,ＣＩＪ,4826,--,株式現物買,--, 特定 ,--,1,603,--,--,2023/11/15,603
2023/11/28,キユーピー,2809,--,株式現物買,--, 特定 ,--,1,2580,--,--,2023/11/30,2580
2023/11/28,帝国繊維,3302,--,株式現物買,--, 特定 ,--,1,1979,--,--,2023/11/30,1979
2023/11/28,ジャパンクラフトホールディングス,7135,--,株式現物買,--, 特定 ,--,1,180,--,--,2023/11/30,180
2023/11/28,インターアクション,7725,--,株式現物買,--, 特定 ,--,1,1006,--,--,2023/11/30,1006
2023/11/29,ポーラ・オルビスホールディングス,4927,--,株式現物買,--, 特定 ,--,1,1569,--,--,2023/12/1,1569
2023/11/29,東海カーボン,5301,--,株式現物買,--, 特定 ,--,1,1100,--,--,2023/12/1,1100
2023/11/30,アシックス,7936,--,株式現物買,--, 特定 ,--,1,5238,--,--,2023/12/4,5238
2023/12/4,カゴメ,2811,--,株式現物買,--, 特定 ,--,1,3168,--,--,2023/12/6,3168
2023/12/4,ユニオンツール,6278,--,株式現物買,--, 特定 ,--,1,3415,--,--,2023/12/6,3415
2023/12/5,ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）,,,投信金額買付,--, 特定/一般 ,--,42,24048,--,--,2023/12/8,100
2023/12/7,ヤマハ発動機,7272,--,株式現物買,--, 特定 ,--,1,3858,--,--,2023/12/11,3858
2023/12/7,千趣会,8165,--,株式現物買,--, 特定 ,--,1,386,--,--,2023/12/11,386
2023/12/11,システム情報,3677,--,株式現物売,--, 特定 ,申告,1,927,--,--,2023/12/13,927
2023/12/12,スノーピーク,7816,--,株式現物買,--, 特定 ,--,1,870,--,--,2023/12/14,870
2023/12/20,日本マクドナルドホールディングス,2702,--,株式現物買,--, 特定 ,--,1,6070,--,--,2023/12/22,6070
2023/12/28,福田組,1899,--,株式現物買,--, 特定 ,--,1,5030,--,--,2024/1/4,5030
2024/1/9,モロゾフ,2217,--,株式現物買,--, 特定 ,--,1,3850,--,--,2024/1/11,3850
2024/1/9,ダイドーグループホールディングス,2590,--,株式現物買,--, 特定 ,--,1,5930,--,--,2024/1/11,5930
