約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
2024/3/25,カッパ・クリエイト,7421,東証,株式現物買,--, 特定 ,--,100,1669,--,--,2024/3/27,166900
2024/3/25,野村ＭＲＦ,,,MRF買付,--, 特定/一般 ,--,210000,1,--,--,2024/3/25,210000
2024/3/26,野村ＭＲＦ,,,MRF解約,--, 特定 ,--,166900,1,--,--,2024/3/27,166900
2024/3/27,コロワイド,7616,東証,株式現物買,--, 特定 ,--,500,2168,--,--,2024/3/29,1084000
2024/3/28,カッパ・クリエイト,7421,東証,株式現物売,--, 特定 ,申告,100,1633,--,--,2024/4/1,163300
2024/3/28,コロワイド,7616,東証,株式現物売,--, 特定 ,申告,500,2120,--,--,2024/4/1,1060000
2024/3/28,野村ＭＲＦ,,,MRF解約,--, 特定 ,--,1084000,1,--,--,2024/3/29,1084000
2024/3/28,野村ＭＲＦ,,,MRF買付,--, 特定/一般 ,--,1040000,1,--,--,2024/3/28,1040000
2024/3/29,野村ＭＲＦ,,,MRF再投資,--, 特定/一般 ,--,1,1,--,--,2024/3/29,1
2024/4/1,野村ＭＲＦ,,,MRF解約,--, 特定 ,--,1223836,1,--,--,2024/4/2,1223836
2024/4/1,野村ＭＲＦ,,,MRF買付,--, 特定/一般 ,--,1223300,1,--,--,2024/4/1,1223300
2024/4/24,正栄食品工業,8079,東証,株式現物買,--, 特定 ,--,100,4380,--,--,2024/4/26,438000
2024/4/24,野村ＭＲＦ,,,MRF買付,--, 特定/一般 ,--,510000,1,--,--,2024/4/24,510000
2024/4/25,野村ＭＲＦ,,,MRF解約,--, 特定 ,--,438000,1,--,--,2024/4/26,438000
2024/4/26,正栄食品工業,8079,東証,株式現物売,--, 特定 ,申告,100,4305,--,--,2024/5/1,430500
2024/4/30,野村ＭＲＦ,,,MRF再投資,--, 特定/一般 ,--,3,1,--,--,2024/4/30,3
2024/5/1,野村ＭＲＦ,,,MRF解約,--, 特定 ,--,502503,1,--,--,2024/5/2,502503
2024/5/1,野村ＭＲＦ,,,MRF買付,--, 特定/一般 ,--,430500,1,--,--,2024/5/1,430500
2024/5/15,アスクル,2678,東証,株式現物買,--, 特定 ,--,100,2339,--,--,2024/5/17,233900
2024/5/15,クスリのアオキホールディングス,3549,東証,株式現物買,--, 特定 ,--,100,2965,--,--,2024/5/17,296500
2024/5/16,野村ＭＲＦ,,,MRF解約,--, 特定 ,--,900000,1,--,--,2024/5/17,900000
2024/5/16,野村ＭＲＦ,,,MRF買付,--, 特定/一般 ,--,900000,1,--,--,2024/5/16,900000
2024/5/17,アスクル,2678,東証,株式現物売,--, 特定 ,申告,100,2283,--,--,2024/5/21,228300
2024/5/17,クスリのアオキホールディングス,3549,東証,株式現物売,--, 特定 ,申告,100,3028,--,--,2024/5/21,302800
2024/5/21,野村ＭＲＦ,,,MRF解約,--, 特定 ,--,531100,1,--,--,2024/5/22,531100
2024/5/21,野村ＭＲＦ,,,MRF買付,--, 特定/一般 ,--,531100,1,--,--,2024/5/21,531100
2024/5/29,大黒天物産,2791,東証,株式現物買,--, 特定 ,--,100,7840,--,--,2024/5/31,784000
2024/5/29,ＦＰパートナー,7388,東証,株式現物買,--, 特定 ,--,100,4065,--,--,2024/5/31,406500
2024/5/29,ブックオフグループホールディングス,9278,東証,株式現物買,--, 特定 ,--,100,1533,--,--,2024/5/31,153300
2024/5/30,大黒天物産,2791,東証,株式現物売,--, 特定 ,申告,100,7850,--,--,2024/6/3,785000
2024/5/30,ＦＰパートナー,7388,東証,株式現物売,--, 特定 ,申告,100,3950,--,--,2024/6/3,395000
2024/5/30,ブックオフグループホールディングス,9278,東証,株式現物売,--, 特定 ,申告,100,1456,--,--,2024/6/3,145600
2024/5/30,野村ＭＲＦ,,,MRF解約,--, 特定 ,--,1343800,1,--,--,2024/5/31,1343800
2024/5/30,野村ＭＲＦ,,,MRF買付,--, 特定/一般 ,--,1450000,1,--,--,2024/5/30,1450000
2024/5/31,野村ＭＲＦ,,,MRF再投資,--, 特定/一般 ,--,6,1,--,--,2024/5/31,6
2024/6/3,野村ＭＲＦ,,,MRF買付,--, 特定/一般 ,--,1325600,1,--,--,2024/6/3,1325600
2024/6/4,野村ＭＲＦ,,,MRF解約,--, 特定 ,--,1431806,1,--,--,2024/6/5,1431806
2024/6/6,野村ＭＲＦ,,,MRF買付,--, 特定/一般 ,--,2392,1,--,--,2024/6/6,2392
2024/6/10,野村ＭＲＦ,,,MRF解約,--, 特定 ,--,2392,1,--,--,2024/6/11,2392
2024/6/14,日本マクドナルドホールディングス,2702,--,株式現物買,--, 特定 ,--,1,6350,--,--,2024/6/18,6350
2024/6/18,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,9267,東証,株式現物買,--, 特定 ,--,100,5730,--,--,2024/6/20,573000
2024/6/19,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,9267,東証,株式現物売,--, 特定 ,申告,200,2859,--,--,2024/6/21,571800
2024/6/24,メディアスホールディングス,3154,東証,株式現物買,--, 特定 ,--,100,984,--,--,2024/6/26,98400
2024/6/24,アイスタイル,3660,東証,株式現物買,--, 特定 ,--,100,491,--,--,2024/6/26,49100
2024/6/24,メディカル・データ・ビジョン,3902,東証,株式現物買,--, 特定 ,--,100,556,--,--,2024/6/26,55600
2024/6/26,江崎グリコ,2206,東証,株式現物買,--, 特定 ,--,100,4239,--,--,2024/6/28,423900
2024/6/26,日本マクドナルドホールディングス,2702,東証,株式現物買,--, 特定 ,--,100,6390,--,--,2024/6/28,639000
2024/6/26,物語コーポレーション,3097,東証,株式現物買,--, 特定 ,--,100,3430,--,--,2024/6/28,343000
2024/6/26,すかいらーくホールディングス,3197,東証,株式現物買,--, 特定 ,--,100,2253,--,--,2024/6/28,225300
2024/6/26,ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,3688,東証,株式現物買,--, 特定 ,--,100,1634,--,--,2024/6/28,163400
2024/6/26,パン・パシフィック・インターナショナルホールディングス,7532,東証,株式現物買,--, 特定 ,--,100,3856,--,--,2024/6/28,385600
2024/6/27,江崎グリコ,2206,東証,株式現物売,--, 特定 ,申告,100,4185,--,--,2024/7/1,418500
2024/6/27,日本マクドナルドホールディングス,2702,東証,株式現物売,--, 特定 ,申告,100,6340,--,--,2024/7/1,634000
2024/6/27,物語コーポレーション,3097,東証,株式現物売,--, 特定 ,申告,100,3405,--,--,2024/7/1,340500
2024/6/27,メディアスホールディングス,3154,東証,株式現物売,--, 特定 ,申告,100,931,--,--,2024/7/1,93100
2024/6/27,すかいらーくホールディングス,3197,東証,株式現物売,--, 特定 ,申告,100,2223,--,--,2024/7/1,222300
2024/6/27,アイスタイル,3660,東証,株式現物売,--, 特定 ,申告,100,495,--,--,2024/7/1,49500
2024/6/27,ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,3688,東証,株式現物売,--, 特定 ,申告,100,1598,--,--,2024/7/1,159800
