銘柄名,銘柄コード,市場,弁済期限(いちにち),弁済期限(14日),弁済期限(無期限),売建可能数量[株],優待権利付き最終日,株主優待,特別空売り料[円],現在値[円],前日比[円],当日株価変動率[％],日中出来高増減率[％],ティック数,出来高[株],直近高値騰落率[％],貸借区分,逆日歩[円]
"キオクシアホールディングス","285A","東証","○","-","○","440,200","-","無","0.00","83,300","7,040","22.50 %","-","289,390","56,815,500","-10.48 %","貸借","0.00"
"ＪＮグループ","6634","東証","○","-","-","0","11/26","有","0.10","83","16","22.05 %","-","2,236","5,591,600","-5.68 %","貸借","0.00"
"ＲＥＹＵＵＪＡＰＡＮ","9425","東証","○","-","-","43,900","-","無","0.30","261","51","20.83 %","-","3,528","4,389,100","-0.38 %","信用","0.00"
"ＳＵＭＣＯ","3436","東証","○","-","○","112,000","-","無","0.00","5,094","517","20.51 %","-","75,704","24,518,300","-0.11 %","貸借","0.20"
"ＫＯＫＵＳＡＩＥＬＥＣＴＲＩＣ","6525","東証","○","-","○","62,700","-","無","0.00","12,000","1,570","20.34 %","-","48,520","14,224,700","-1.80 %","貸借","0.00"
"リベルタ","4935","東証","○","-","-","38,500","12/28","有","1.30","360","52","20.00 %","-","7,390","6,598,200","0.00 %","信用","0.00"
"芝浦メカトロニクス","6590","東証","○","-","○","19,100","-","無","0.00","5,980","580","19.36 %","-","6,931","4,049,500","0.00 %","貸借","0.35"
"トーシンホールディングス","9444","東証","○","-","-","12,000","10/28","有","0.10","259","39","19.35 %","-","1,702","598,100","-7.16 %","信用","0.00"
"ＲＳＴＥＣＨＮＯＬＯＧＩＥＳ","3445","東証","○","-","○","3,200","-","無","0.00","8,450","890","17.85 %","-","1,877","454,400","0.00 %","貸借","0.00"
"キャンバス","4575","東証","○","-","-","20,400","-","無","0.90","690","100","15.00 %","-","3,382","1,350,200","0.00 %","信用","0.00"
"ＧＸ中小リーダー日株","2837","東証","○","-","-","1,216","-","無","6.00","5,700","337","14.45 %","-","1,956","121,565","-4.79 %","貸借","0.00"
"ニチコン","6996","東証","○","-","○","9,600","-","無","0.00","4,435","140","14.45 %","-","3,399","1,335,500","-8.36 %","貸借","0.00"
"カーリット","4275","東証","○","-","-","5,000","09/28","有","0.00","2,570","323","14.27 %","-","2,303","498,800","-0.19 %","貸借","0.05"
"北川精機","6327","東証","○","-","-","11,900","-","無","6.10","8,210","450","14.02 %","-","6,744","1,312,200","-13.39 %","信用","0.00"
"岡野バルブ","6492","東証","○","-","-","1,800","-","無","10.80","21,350","2,630","13.68 %","-","651","90,200","-1.38 %","信用","0.00"
"ＮＮＫＯＳＰＩブルＥＴＮ","2033","東証","○","-","-","72","-","無","111.00","112,400","5,700","13.53 %","-","3,450","12,027","-15.36 %","信用","0.00"
"ＬＩＮＫ－Ｕグループ","4446","東証","○","-","-","0","-","無","2.30","925","82","13.49 %","-","6,851","1,684,500","-6.65 %","貸借","0.05"
"ＡＭＡＺＩＡ","4424","東証","○","-","-","18,300","-","無","0.50","272","26","13.33 %","-","4,178","2,113,700","-16.56 %","貸借","0.05"
"ハーモニック・ドライブ・シス","6324","東証","○","-","○","33,300","-","無","0.00","8,840","710","12.75 %","-","9,971","4,155,900","0.00 %","貸借","0.00"
"インスペック","6656","東証","○","-","-","0","-","無","1.00","1,321","119","12.71 %","-","1,340","292,000","-3.57 %","貸借","0.00"
"ローツェ","6323","東証","○","-","○","33,600","-","無","0.00","4,940","239","12.32 %","-","9,870","2,099,200","-4.98 %","貸借","0.00"
"ローム","6963","東証","○","-","○","52,300","-","無","0.00","5,950","739","12.28 %","-","32,871","10,113,300","0.00 %","貸借","0.00"
"ＮＦ日経半導体株","200A","東証","○","-","-","18,911","-","無","5.00","5,710","237","12.26 %","-","51,273","6,303,597","-7.29 %","貸借","0.00"
"上場日経半導体","213A","東証","○","-","-","0","-","無","0.00","526.3","22.3","11.97 %","-","4,226","4,697,820","-7.48 %","貸借","0.00"
"日本電波工業","6779","東証","○","-","-","15,700","-","無","0.40","3,750","280","11.94 %","-","3,466","1,289,200","-2.59 %","信用","0.00"
"日本ケミコン","6997","東証","○","-","○","36,500","-","無","0.00","5,570","430","11.84 %","-","3,891","1,361,300","-5.59 %","貸借","0.00"
"マルマエ","6264","東証","○","-","○","500","08/27","有","0.00","2,962","239","11.77 %","-","5,722","1,443,600","-3.98 %","貸借","0.00"
"ＭＸＳ日経半導体株","221A","東証","○","-","-","7,190","-","無","0.00","1,480.5","59.0","11.19 %","-","1,536","718,220","-7.61 %","貸借","0.00"
"テクセンドフォトマスク","429A","東証","○","-","○","75,100","-","無","0.00","4,775","120","11.04 %","-","4,054","1,467,100","-0.72 %","貸借","0.00"
"石井表記","6336","東証","○","-","-","1,800","-","無","0.70","1,899","121","10.98 %","-","1,229","273,100","-3.30 %","信用","0.00"
"セレンディップ・ホールディ","7318","東証","○","-","-","5,400","-","無","1.10","2,359","139","10.80 %","-","923","267,200","-0.67 %","信用","0.00"
"ピクセラ","6731","東証","○","-","-","18,700","-","無","0.20","124","9","10.71 %","-","706","935,200","-2.36 %","信用","0.00"
"ＧＸ半導体１０日株","282A","東証","○","-","-","6,409","-","無","3.00","3,030","95","10.02 %","-","3,853","640,866","-8.95 %","貸借","0.00"
"三井ハイテック","6966","東証","○","-","○","127,600","-","無","0.00","1,095","91","9.93 %","-","7,149","5,251,300","0.00 %","貸借","0.00"
"エンプラス","6961","東証","○","-","○","2,300","-","無","0.00","13,300","350","9.73 %","-","663","123,500","-2.20 %","貸借","0.00"
"ジーエルテクノホールディンク","255A","東証","○","-","-","1,300","-","無","0.00","6,440","-20","9.52 %","-","605","122,000","-6.66 %","貸借","0.00"
"テラプローブ","6627","東証","○","-","-","3,300","-","無","0.90","13,880","670","9.46 %","-","743","139,500","-3.40 %","信用","0.00"
"安川電機","6506","東証","○","-","○","45,300","-","無","0.00","7,479","537","9.31 %","-","22,720","5,230,400","0.00 %","貸借","0.00"
"ＡＬＢＡＬＩＮＫ","5537","東証","○","-","-","3,200","-","無","2.80","3,130","328","9.21 %","-","616","156,700","-3.09 %","信用","0.00"
"ＣＫＤ","6407","東証","○","-","-","4,400","09/28","有","0.00","7,490","30","9.18 %","-","3,465","1,435,900","-5.42 %","貸借","0.05"
"ナガホリ","8139","東証","○","-","-","0","-","無","2.10","2,303","167","9.14 %","-","96","40,400","0.00 %","貸借","0.00"
"ＴＶＥ","6466","東証","○","-","-","400","-","無","4.10","5,000","415","8.93 %","-","232","40,700","-1.18 %","貸借","0.00"
